JPN,Japan,Tokyo,35.6897,139.6922
IDN,Indonesia,Jakarta,-6.1750,106.8275
IND,India,Delhi,28.6100,77.2300
CHN,China,Guangzhou,23.1300,113.2600
IND,India,Mumbai,19.0761,72.8775
PHL,Philippines,Manila,14.5958,120.9772
CHN,China,Shanghai,31.1667,121.4667
BRA,Brazil,Sao Paulo,-23.5500,-46.6333
KOR,South Korea,Seoul,37.5600,126.9900
MEX,Mexico,Mexico City,19.4333,-99.1333
EGY,Egypt,Cairo,30.0444,31.2358
USA,United States,New York,40.6943,-73.9249
BGD,Bangladesh,Dhaka,23.7639,90.3889
CHN,China,Beijing,39.9040,116.4075
IND,India,Kolkata,22.5675,88.3700
THA,Thailand,Bangkok,13.7525,100.4942
CHN,China,Shenzhen,22.5350,114.0540
RUS,Russia,Moscow,55.7558,37.6178
ARG,Argentina,Buenos Aires,-34.5997,-58.3819
NGA,Nigeria,Lagos,6.4550,3.3841
TUR,Turkey,Istanbul,41.0136,28.9550
PAK,Pakistan,Karachi,24.8600,67.0100
IND,India,Bangalore,12.9789,77.5917
VNM,Vietnam,Ho Chi Minh City,10.7756,106.7019
JPN,Japan,Osaka,34.6939,135.5022
CHN,China,Chengdu,30.6600,104.0633
IRN,Iran,Tehran,35.6892,51.3889
COD,Congo (Kinshasa),Kinshasa,-4.3250,15.3222
BRA,Brazil,Rio de Janeiro,-22.9111,-43.2056
IND,India,Chennai,13.0825,80.2750
CHN,China,Xi'an,34.2667,108.9000
PAK,Pakistan,Lahore,31.5497,74.3436
CHN,China,Chongqing,29.5500,106.5069
USA,United States,Los Angeles,34.1141,-118.4068
CHN,China,Baoding,38.8671,115.4845
GBR,United Kingdom,London,51.5072,-0.1275
FRA,France,Paris,48.8567,2.3522
CHN,China,Linyi,35.1041,118.3502
CHN,China,Dongguan,23.0475,113.7493
IND,India,Hyderabad,17.3850,78.4867
CHN,China,Tianjin,39.1467,117.2056
PER,Peru,Lima,-12.0600,-77.0375
CHN,China,Wuhan,30.5872,114.2881
CHN,China,Nanyang,32.9987,112.5292
CHN,China,Hangzhou,30.2500,120.1675
CHN,China,Foshan,23.0292,113.1056
JPN,Japan,Nagoya,35.1833,136.9000
TWN,Taiwan,Taipei,25.0375,121.5625
CHN,China,Tongshan,34.2610,117.1859
AGO,Angola,Luanda,-8.8383,13.2344
CHN,China,Zhoukou,33.6250,114.6418
CHN,China,Ganzhou,25.8292,114.9336
MYS,Malaysia,Kuala Lumpur,3.1478,101.6953
CHN,China,Heze,35.2333,115.4333
CHN,China,Quanzhou,24.9139,118.5858
USA,United States,Chicago,41.8375,-87.6866
CHN,China,Nanjing,32.0608,118.7789
CHN,China,Jining,35.4000,116.5667
VNM,Vietnam,Hanoi,21.0283,105.8542
IND,India,Pune,18.5203,73.8567
CHN,China,Fuyang,32.8986,115.8045
IND,India,Ahmedabad,23.0300,72.5800
ZAF,South Africa,Johannesburg,-26.2044,28.0456
COL,Colombia,Bogota,4.7111,-74.0722
TZA,Tanzania,Dar es Salaam,-6.8161,39.2803
CHN,China,Shenyang,41.8025,123.4281
SDN,Sudan,Khartoum,15.5006,32.5600
CHN,China,Shangqiu,34.4259,115.6467
CHN,China,Cangzhou,38.3037,116.8452
HKG,Hong Kong,Hong Kong,22.3000,114.2000
CHN,China,Shaoyang,27.2418,111.4725
CHN,China,Zhanjiang,21.1967,110.4031
CHN,China,Yancheng,33.3936,120.1339
CHN,China,Hengyang,26.8968,112.5857
SAU,Saudi Arabia,Riyadh,24.6333,46.7167
CHN,China,Zhumadian,32.9773,114.0253
CHL,Chile,Santiago,-33.4372,-70.6506
CHN,China,Xingtai,37.0659,114.4753
