Aleknagik / New Airport,59.2826004,-158.6179962,WKK,JPN
"""Ghost"" International Airport",33.284605,69.80734,KHT,IDN
Honiara International Airport,-9.428,160.054993,HIR,IND
Munda Airport,-8.32797,157.263,MUA,CHN
Hongyuan Airport,32.53154,102.35224,AHJ,IND
Nauru International Airport,-0.547458,166.919006,INU,PHL
Alxa Left Banner Bayanhot Airport,38.74831,105.58858,AXF,CHN
Buka Airport,-5.4223199,154.6730042,BUA,BRA
Chimbu Airport,-6.0242901,144.970993,CMU,KOR
Daru Airport,-9.08676,143.207993,DAU,MEX
Goroka Airport,-6.0816898,145.3919983,GKA,EGY
Gurney Airport,-10.3114996,150.3339996,GUR,USA
Girua Airport,-8.8045397,148.3090057,PNP,BGD
Hoskins Airport,-5.463846,150.407327,HKN,CHN
Kerema Airport,-7.9636102,145.7709961,KMA,IND
Kavieng Airport,-2.5794001,150.8079987,KVG,THA
Madang Airport,-5.2070799,145.7890015,MAG,CHN
Mount Hagen Kagamuga Airport,-5.828212,144.299412,HGU,RUS
Mendi Airport,-6.14774,143.656998,MDU,ARG
Momote Airport,-2.06189,147.423996,MAS,NGA
Nadzab Airport,-6.569803,146.725977,LAE,TUR
Port Moresby Jacksons International Airport,-9.4433804,147.2200012,POM,PAK
Tokua Airport,-4.34046,152.380005,RAB,IND
Vanimo Airport,-2.6926,141.3028,VAI,VNM
Wapenamanda Airport,-5.635293,143.892231,WBM,JPN
Wewak International Airport,-3.5838301,143.6690063,WWK,CHN
Zabrat Airport,40.4955422,49.9768066,ZXT,IRN
Benguera Island Airport,-21.8533001,35.4383011,BCW,COD
Bezmer Air Base,42.4548988,26.3521996,JAM,BRA
Aasiaat Airport,68.721802,-52.784698,JEG,IND
Narsarsuaq Airport,61.1605,-45.425999,UAK,CHN
Nuuk Airport,64.193022,-51.676512,GOH,PAK
Kulusuk Airport,65.573601,-37.1236,KUS,CHN
Kangerlussuaq Airport,67.010446,-50.715294,SFJ,USA
Sisimiut Airport,66.951302,-53.729301,JHS,CHN
Thule Air Base,76.531197,-68.703201,THU,GBR
Akureyri Airport,65.6600037,-18.0727005,AEY,FRA
Egilsstaðir Airport,65.2833023,-14.4013996,EGS,CHN
Hornafjörður Airport,64.295601,-15.2272,HFN,CHN
Húsavík Airport,65.952301,-17.426001,HZK,IND
Ísafjörður Airport,66.0580978,-23.1352997,IFJ,CHN
Keflavik International Airport,63.985001,-22.6056,KEF,PER
Reykjavik Airport,64.1299973,-21.9405994,RKV,CHN
Siglufjörður Airport,66.137847,-18.908157,SIJ,CHN
Vestmannaeyjar Airport,63.4243011,-20.2789001,VEY,CHN
Priština Adem Jashari International Airport,42.5728,21.035801,PRN,CHN
Glauber de Andrade Rocha Airport,-14.907885,-40.914804,VDC,JPN
Betong International Airport,5.79,101.15,BTZ,TWN
Orsha Airport - Balbasovo Air Base,54.439999,30.2967,TXC,CHN
Big Creek Airport,16.519369,-88.407913,BGK,AGO
Caye Caulker Airport,17.735015,-88.032862,CUK,CHN
Caye Chapel Airport,17.683792,-88.044985,CYC,CHN
Corozal Municipal Airport,18.3822,-88.411903,CZH,MYS
Dangriga Airport,16.98251,-88.230988,DGA,CHN
Placencia Airport,16.536957,-88.361511,PLJ,CHN
Punta Gorda Airport,16.1024,-88.808296,PND,USA
Sartaneja Airport,18.3561,-88.130798,SJX,CHN
John Greif II Airport,17.9139,-87.9711,SPR,CHN
Sir Barry Bowen Municipal Airport,17.517239,-88.195775,TZA,VNM
Bazaruto Island Airport,-21.5411,35.4729,BZB,IND
Anahim Lake Airport,52.451501,-125.303776,YAA,CHN
Cache Creek-Ashcroft Regional Airport,50.775258,-121.321314,YZA,IND
Bella Bella (Campbell Island) Airport,52.185001,-128.156994,ZEL,ZAF
Nuevo Chaitén Airport,-42.781943,-72.834999,WCH,COL
Yuanmou Air Base,25.737499,101.882004,YUA,TZA
Zhangjiakou Ningyuan Airport,40.738602,114.93,ZQZ,CHN
Baoshan Yunrui Airport,25.053301,99.168297,BSD,SDN
Lincang Boshang Airport,23.7381,100.025002,LNJ,CHN
Xigaze Peace Airport / Shigatse Air Base,29.3519,89.311401,RKZ,CHN
Panzhihua Bao'anying Airport,26.54,101.79852,PZI,HKG
Foshan Shadi Airport,23.0833,113.07,FUO,CHN
Xinyang Minggang Airport,32.540819,114.079141,XAI,CHN
Huizhou Pingtan Airport,23.049999,114.599998,HUZ,CHN
Shaoguan Danxia Airport,24.9786,113.420998,HSC,CHN
Jinggangshan Airport,26.856899,114.737,JGS,SAU
Baise Youjiang Airport,23.7206,106.959999,AEB,CHN
Lianyungang Huaguoshan International Airport,34.41406,119.17899,LYG,CHL
Dongying Shengli Airport,37.5085983,118.788002,DOY,CHN
Xingcheng Air Base,40.580328,120.700374,XEN,BGD
Altay Xuedu Airport,47.749886,88.085808,AAT,CHN
Tianshui Maijishan Airport,34.559399,105.860001,THQ,CHN
Wuhan Hannan Municipal Airport,30.25521,114.062805,WHN,CHN
Beijing Nanjiao Airport,39.48595,116.37236,NAY,IND
Dandong Langtou Airport,40.0247,124.286003,DDG,IDN
Xigaze Dingri Airport,28.604567,86.798,DDR,CHN
Tashikuergan Hongqilafu Airport,37.661333,75.288877,HQL,CHN
Zhanjiang Wuchuan Airport,21.481667,110.590278,ZHA,CHN
Nantong Xingdong International Airport,32.070801,120.975998,NTG,CHN
Lefkoniko Airport / Geçitkale Air Base,35.23591,33.720088,GEC,ESP
Cat Lake Airport,51.7271996,-91.8244019,YAC,IRQ
Fort Frances Municipal Airport,48.655749,-93.44349,YAG,CHN
La Grande-4 Airport,53.7546997,-73.6753006,YAH,CHN
Alert Bay Airport,50.582199,-126.916,YAL,SGP
Sault Ste Marie Airport,46.485001,-84.509399,YAM,IND
Kasabonika Airport,53.5247002,-88.6427994,XKS,CHN
Kangirsuk Airport,60.0271988,-69.9991989,YKG,CHN
Attawapiskat Airport,52.9275017,-82.4319,YAT,CHN
St. Anthony Airport,51.391909,-56.08321,YAY,CHN
Tofino / Long Beach Airport,49.079833,-125.775583,YAZ,CHN
Kugaaruk Airport,68.534401,-89.808098,YBB,CMR
Baie-Comeau Airport,49.1325,-68.204399,YBC,USA
Bella Coola Airport,52.387501,-126.596001,QBC,CHN
Uranium City Airport,59.5614014,-108.4810028,YBE,CHN
Bonnyville Airport,54.304199,-110.744003,YBY,CHN
CFB Bagotville,48.3306007,-70.9963989,YBG,USA
Baker Lake Airport,64.2988968,-96.0777969,YBK,USA
Campbell River Airport,49.950802,-125.271004,YBL,CHN
Tadoule Lake Airport,58.7061,-98.512199,XTL,CHN
Brandon Municipal Airport,49.91,-99.951897,YBR,CHN
Brochet Airport,57.8894,-101.679001,YBT,CHN
Berens River Airport,52.358898,-97.018303,YBV,EGY
Lourdes-de-Blanc-Sablon Airport,51.4436,-57.185299,YBX,CHN
